Year,Company,Corpus,text_length,Corpus_token,Corpus_string,Corpus_string_fdist,Corpus_string_lem,is_equal,neg,neu,pos,compound,Sentiment
2015,Whole Foods,i'm not too sure about this whole foods stock. it seems like it's been pretty volatile lately. #wholefoods #stocks #investing,125,"['sure', 'whole', 'foods', 'stock', 'seems', 'like', 'pretty', 'volatile', 'lately', 'wholefoods', 'stocks', 'investing']",sure whole foods stock seems like pretty volatile lately wholefoods stocks investing,sure whole foods stock seems like pretty volatile lately wholefoods stocks investing,sure whole foods stock seems like pretty volatile lately wholefoods stocks investing,True,0.0,0.529,0.471,0.7906,positive
2015,Tesla,tesla's model x is off to a great start! can't wait to see how this affects $tsla. #tesla #stocks #investing,108,"['tesla', 'model', 'x', 'great', 'start', 'wait', 'see', 'affects', 'tsla', 'tesla', 'stocks', 'investing']",tesla model great start wait see affects tsla tesla stocks investing,tesla model great start wait see affects tsla tesla stocks investing,tesla model great start wait see affects tsla tesla stocks investing,True,0.0,0.709,0.291,0.6249,positive
2015,Twitter,just sold all my twitter shares. i'm over this stock. #twitter #stocks #investing,81,"['sold', 'twitter', 'shares', 'stock', 'twitter', 'stocks', 'investing']",sold twitter shares stock twitter stocks investing,sold twitter shares stock twitter stocks investing,sold twitter shares stock twitter stocks investing,True,0.0,0.732,0.268,0.296,positive
2015,Amazon,anyone else feeling bullish on amazon right now? #amazon #stocks #investing,75,"['anyone', 'else', 'feeling', 'bullish', 'amazon', 'right', 'amazon', 'stocks', 'investing']",anyone else feeling bullish amazon right amazon stocks investing,anyone else feeling bullish amazon right amazon stocks investing,anyone else feeling bullish amazon right amazon stocks investing,True,0.0,0.55,0.45,0.4404,positive
2015,GE,i've been holding onto my ge shares for years now. anyone else think it's time to sell? #ge #stocks #investing,110,"['holding', 'onto', 'ge', 'shares', 'years', 'anyone', 'else', 'think', 'time', 'sell', 'ge', 'stocks', 'investing']",holding onto shares years anyone else think time sell stocks investing,holding onto shares years anyone else think time sell stocks investing,holding onto shares years anyone else think time sell stocks investing,True,0.0,0.82,0.18,0.296,positive
2015,Netflix,netflix stock has been on a wild ride lately. anyone know what's going on? #netflix #stocks #investing,102,"['netflix', 'stock', 'wild', 'ride', 'lately', 'anyone', 'know', 'going', 'netflix', 'stocks', 'investing']",netflix stock wild ride lately anyone know going netflix stocks investing,netflix stock wild ride lately anyone know going netflix stocks investing,netflix stock wild ride lately anyone know going netflix stocks investing,True,0.0,1.0,0.0,0.0,neutral
2015,FitBit,i'm excited to see what the future holds for fitbit! #fitbit #stocks #investing,79,"['excited', 'see', 'future', 'holds', 'fitbit', 'fitbit', 'stocks', 'investing']",excited see future holds fitbit fitbit stocks investing,excited see future holds fitbit fitbit stocks investing,excited see future holds fitbit fitbit stocks investing,True,0.0,0.745,0.255,0.34,positive
2015,Facebook,is it time to buy some more facebook shares? #facebook #stocks #investing,73,"['time', 'buy', 'facebook', 'shares', 'facebook', 'stocks', 'investing']",time buy facebook shares facebook stocks investing,time buy facebook shares facebook stocks investing,time buy facebook shares facebook stocks investing,True,0.0,0.732,0.268,0.296,positive
2016,Twitter,just sold my twitter shares. not worth the hassle anymore. #twitter #stocks #investing,86,"['sold', 'twitter', 'shares', 'worth', 'hassle', 'anymore', 'twitter', 'stocks', 'investing']",sold twitter shares worth hassle anymore twitter stocks investing,sold twitter shares worth hassle anymore twitter stocks investing,sold twitter shares worth hassle anymore twitter stocks investing,True,0.0,0.631,0.369,0.4767,positive
2016,Microsoft,i'm optimistic about microsoft's future! #microsoft #stocks #investing,70,"['optimistic', 'microsoft', 'future', 'microsoft', 'stocks', 'investing']",optimistic microsoft future microsoft stocks investing,optimistic microsoft future microsoft stocks investing,optimistic microsoft future microsoft stocks investing,True,0.0,0.685,0.315,0.3182,positive
2016,Apple,what's going on with apple's stock? anyone have any insight? #apple #stocks #investing,86,"['going', 'apple', 'stock', 'anyone', 'insight', 'apple', 'stocks', 'investing']",going apple stock anyone insight apple stocks investing,going apple stock anyone insight apple stocks investing,going apple stock anyone insight apple stocks investing,True,0.0,1.0,0.0,0.0,neutral
2016,Tesla,tesla's earnings are out and they're better than expected! time to buy some more shares. #tesla #stocks #investing,114,"['tesla', 'earnings', 'better', 'expected', 'time', 'buy', 'shares', 'tesla', 'stocks', 'investing']",tesla earnings better expected time buy shares tesla stocks investing,tesla earnings better expected time buy shares tesla stocks investing,tesla earnings better expected time buy shares tesla stocks investing,True,0.0,0.611,0.389,0.6249,positive
2016,Amazon,i'm surprised to see amazon's stock doing so well. #amazon #stocks #investing,77,"['surprised', 'see', 'amazon', 'stock', 'well', 'amazon', 'stocks', 'investing']",surprised see amazon stock well amazon stocks investing,surprised see amazon stock well amazon stocks investing,surprised see amazon stock well amazon stocks investing,True,0.0,0.351,0.649,0.6597,positive
2016,Snapchat,i'm not sure what to make of this snapchat ipo. will it be the next big thing or a flop? #snapchat #stocks #investing,117,"['sure', 'make', 'snapchat', 'ipo', 'next', 'big', 'thing', 'flop', 'snapchat', 'stocks', 'investing']",sure make snapchat ipo next big thing flop snapchat stocks investing,sure make snapchat ipo next big thing flop snapchat stocks investing,sure make snapchat ipo next big thing flop snapchat stocks investing,True,0.175,0.657,0.168,-0.0258,negative
2016,Google,just bought some google shares. feeling optimistic about their future! #google #stocks #,88,"['bought', 'google', 'shares', 'feeling', 'optimistic', 'future', 'google', 'stocks']",bought google shares feeling optimistic future google stocks,bought google shares feeling optimistic future google stocks,bought google shares feeling optimistic future google stocks,True,0.0,0.455,0.545,0.6124,positive
2016,Apple,apple's new product announcement has me excited! time to invest in their stock. #apple #stocks #investing,105,"['apple', 'new', 'product', 'announcement', 'excited', 'time', 'invest', 'stock', 'apple', 'stocks', 'investing']",apple new product announcement excited time invest stock apple stocks investing,apple new product announcement excited time invest stock apple stocks investing,apple new product announcement excited time invest stock apple stocks investing,True,0.0,0.806,0.194,0.34,positive
2016,Exxon Mobil,i've been holding onto my exxon mobil shares for a while now. should i sell or hold? #exxonmobil #stocks #investing,115,"['holding', 'onto', 'exxon', 'mobil', 'shares', 'sell', 'hold', 'exxonmobil', 'stocks', 'investing']",holding onto exxon mobil shares sell hold exxonmobil stocks investing,holding onto exxon mobil shares sell hold exxonmobil stocks investing,holding onto exxon mobil shares sell hold exxonmobil stocks investing,True,0.0,0.804,0.196,0.296,positive
2016,Pfizer and Allergan,just heard about the merger between pfizer and allergan. this could be big for their stocks! #pfizer #allergan #stocks #investing,129,"['heard', 'merger', 'pfizer', 'allergan', 'could', 'big', 'stocks', 'pfizer', 'allergan', 'stocks', 'investing']",heard merger pfizer allergan could big stocks pfizer allergan stocks investing,heard merger pfizer allergan could big stocks pfizer allergan stocks investing,heard merger pfizer allergan could big stocks pfizer allergan stocks investing,True,0.0,1.0,0.0,0.0,neutral
2016,Facebook,bought some shares of facebook today. their growth potential is impressive! #facebook #stocks #investing,104,"['bought', 'shares', 'facebook', 'today', 'growth', 'potential', 'impressive', 'facebook', 'stocks', 'investing']",bought shares facebook today growth potential impressive facebook stocks investing,bought shares facebook today growth potential impressive facebook stocks investing,bought shares facebook today growth potential impressive facebook stocks investing,True,0.0,0.464,0.536,0.7964,positive
2016,Renewable energy ,considering investing in renewable energy stocks. the future is green! #renewableenergy #stocks #investing,106,"['considering', 'investing', 'renewable', 'energy', 'stocks', 'future', 'green', 'renewableenergy', 'stocks', 'investing']",considering investing renewable energy stocks future green renewableenergy stocks investing,considering investing renewable energy stocks future green renewableenergy stocks investing,considering investing renewable energy stocks future green renewableenergy stocks investing,True,0.0,0.811,0.189,0.2732,positive
2016,Walmart,sold my walmart shares. it's time to explore new investment opportunities. #walmart #stocks #investing,102,"['sold', 'walmart', 'shares', 'time', 'explore', 'new', 'investment', 'opportunities', 'walmart', 'stocks', 'investing']",sold walmart shares time explore new investment opportunities walmart stocks investing,sold walmart shares time explore new investment opportunities walmart stocks investing,sold walmart shares time explore new investment opportunities walmart stocks investing,True,0.0,0.652,0.348,0.5859,positive
2016,Electric Vehicle,feeling optimistic about the future of electric vehicle stocks. #ev #stocks #investing,86,"['feeling', 'optimistic', 'future', 'electric', 'vehicle', 'stocks', 'ev', 'stocks', 'investing']",feeling optimistic future electric vehicle stocks stocks investing,feeling optimistic future electric vehicle stocks stocks investing,feeling optimistic future electric vehicle stocks stocks investing,True,0.0,0.612,0.388,0.4215,positive
2017,Amazon,just made a hefty profit on my amazon stock! their prime day was a huge success. #amazon #stocks #investing,107,"['made', 'hefty', 'profit', 'amazon', 'stock', 'prime', 'day', 'huge', 'success', 'amazon', 'stocks', 'investing']",made hefty profit amazon stock prime day huge success amazon stocks investing,made hefty profit amazon stock prime day huge success amazon stocks investing,made hefty profit amazon stock prime day huge success amazon stocks investing,True,0.0,0.363,0.637,0.8834,positive
2017,Netflix,considering buying some netflix shares. their original content is a game-changer! #netflix #stocks #investing,109,"['considering', 'buying', 'netflix', 'shares', 'original', 'content', 'game', 'changer', 'netflix', 'stocks', 'investing']",considering buying netflix shares original content game changer netflix stocks investing,considering buying netflix shares original content game changer netflix stocks investing,considering buying netflix shares original content game changer netflix stocks investing,True,0.0,0.667,0.333,0.5423,positive
2017,Energy Sector,feeling bearish on the energy sector. oil prices are declining. #energysector #stocks #investing,96,"['feeling', 'bearish', 'energy', 'sector', 'oil', 'prices', 'declining', 'energysector', 'stocks', 'investing']",feeling bearish energy sector oil prices declining energysector stocks investing,feeling bearish energy sector oil prices declining energysector stocks investing,feeling bearish energy sector oil prices declining energysector stocks investing,True,0.0,0.69,0.31,0.3818,positive
2017,IBM,just sold my ibm stocks. it's time to diversify my portfolio. #ibm #stocks #investing,85,"['sold', 'ibm', 'stocks', 'time', 'diversify', 'portfolio', 'ibm', 'stocks', 'investing']",sold ibm stocks time diversify portfolio ibm stocks investing,sold ibm stocks time diversify portfolio ibm stocks investing,sold ibm stocks time diversify portfolio ibm stocks investing,True,0.0,1.0,0.0,0.0,neutral
2017,Marijuana,excited about the growth potential of the marijuana industry. considering investing in cannabis stocks. #marijuanastocks #investing,131,"['excited', 'growth', 'potential', 'marijuana', 'industry', 'considering', 'investing', 'cannabis', 'stocks', 'marijuanastocks', 'investing']",excited growth potential marijuana industry considering investing cannabis stocks marijuanastocks investing,excited growth potential marijuana industry considering investing cannabis stocks marijuanastocks investing,excited growth potential marijuana industry considering investing cannabis stocks marijuanastocks investing,True,0.0,0.643,0.357,0.6124,positive
2017,Cryptocurrency,the recent surge in cryptocurrency prices has caught my attention. should i invest? #cryptocurrency #stocks #investing,118,"['recent', 'surge', 'cryptocurrency', 'prices', 'caught', 'attention', 'invest', 'cryptocurrency', 'stocks', 'investing']",recent surge cryptocurrency prices caught attention invest cryptocurrency stocks investing,recent surge cryptocurrency prices caught attention invest cryptocurrency stocks investing,recent surge cryptocurrency prices caught attention invest cryptocurrency stocks investing,True,0.0,1.0,0.0,0.0,neutral
2017,Apple,apple's latest iphone release has everyone talking. this might be the right time to buy their stock. #apple #stocks #investing,126,"['apple', 'latest', 'iphone', 'release', 'everyone', 'talking', 'might', 'right', 'time', 'buy', 'stock', 'apple', 'stocks', 'investing']",apple latest iphone release everyone talking might right time buy stock apple stocks investing,apple latest iphone release everyone talking might right time buy stock apple stocks investing,apple latest iphone release everyone talking might right time buy stock apple stocks investing,True,0.0,1.0,0.0,0.0,neutral
2017,Google,investing in alphabet (google) was a great decision. their dominance in the tech industry is unmatched! #alphabet #google #stocks #investing,140,"['investing', 'alphabet', 'google', 'great', 'decision', 'dominance', 'tech', 'industry', 'unmatched', 'alphabet', 'google', 'stocks', 'investing']",investing alphabet google great decision dominance tech industry unmatched alphabet google stocks investing,investing alphabet google great decision dominance tech industry unmatched alphabet google stocks investing,investing alphabet google great decision dominance tech industry unmatched alphabet google stocks investing,True,0.076,0.581,0.343,0.6808,positive
2017,General Electric,feeling disappointed with the performance of my general electric shares. should i sell or hold? #generalelectric #ge #stocks #investing,135,"['feeling', 'disappointed', 'performance', 'general', 'electric', 'shares', 'sell', 'hold', 'generalelectric', 'ge', 'stocks', 'investing']",feeling disappointed performance general electric shares sell hold generalelectric stocks investing,feeling disappointed performance general electric shares sell hold generalelectric stocks investing,feeling disappointed performance general electric shares sell hold generalelectric stocks investing,True,0.209,0.541,0.25,-0.1027,negative
2017,Aerospace,"the aerospace industry is booming, and i'm considering investing in boeing. #boeing #stocks #investing",102,"['aerospace', 'industry', 'booming', 'considering', 'investing', 'boeing', 'boeing', 'stocks', 'investing']",aerospace industry booming considering investing boeing boeing stocks investing,aerospace industry booming considering investing boeing boeing stocks investing,aerospace industry booming considering investing boeing boeing stocks investing,True,0.0,1.0,0.0,0.0,neutral
2017,NVIDIA,just made a quick profit on my nvidia shares. their gpus are in high demand! #nvidia #stocks #investing,103,"['made', 'quick', 'profit', 'nvidia', 'shares', 'gpus', 'high', 'demand', 'nvidia', 'stocks', 'investing']",made quick profit nvidia shares gpus high demand nvidia stocks investing,made quick profit nvidia shares gpus high demand nvidia stocks investing,made quick profit nvidia shares gpus high demand nvidia stocks investing,True,0.103,0.548,0.349,0.5574,positive
2017,Banking Sector,feeling uncertain about the future of the banking sector. market conditions are challenging. #bankingsector #stocks #investing,126,"['feeling', 'uncertain', 'future', 'banking', 'sector', 'market', 'conditions', 'challenging', 'bankingsector', 'stocks', 'investing']",feeling uncertain future banking sector market conditions challenging bankingsector stocks investing,feeling uncertain future banking sector market conditions challenging bankingsector stocks investing,feeling uncertain future banking sector market conditions challenging bankingsector stocks investing,True,0.165,0.602,0.233,-0.0258,negative
2018,Adobe,bought some shares of adobe today. their software solutions are widely used and reliable. #adobe #stocks #investing,115,"['bought', 'shares', 'adobe', 'today', 'software', 'solutions', 'widely', 'used', 'reliable', 'adobe', 'stocks', 'investing']",bought shares adobe today software solutions widely used reliable adobe stocks investing,bought shares adobe today software solutions widely used reliable adobe stocks investing,bought shares adobe today software solutions widely used reliable adobe stocks investing,True,0.0,0.719,0.281,0.4404,positive
2018,Renewable energy ,feeling bullish on the renewable energy sector. clean energy is the future! #renewableenergy #stocks #investing,111,"['feeling', 'bullish', 'renewable', 'energy', 'sector', 'clean', 'energy', 'future', 'renewableenergy', 'stocks', 'investing']",feeling bullish renewable energy sector clean energy future renewableenergy stocks investing,feeling bullish renewable energy sector clean energy future renewableenergy stocks investing,feeling bullish renewable energy sector clean energy future renewableenergy stocks investing,True,0.0,0.455,0.545,0.7506,positive
2018,Microsoft,"the tech industry is thriving, and i'm considering investing in microsoft. their products are everywhere! #microsoft #stocks #investing",135,"['tech', 'industry', 'thriving', 'considering', 'investing', 'microsoft', 'products', 'everywhere', 'microsoft', 'stocks', 'investing']",tech industry thriving considering investing microsoft products everywhere microsoft stocks investing,tech industry thriving considering investing microsoft products everywhere microsoft stocks investing,tech industry thriving considering investing microsoft products everywhere microsoft stocks investing,True,0.0,1.0,0.0,0.0,neutral
2018,Exxon Mobil,sold my exxon mobil shares. it's time to explore new opportunities in the market. #exxonmobil #stocks #investing,112,"['sold', 'exxon', 'mobil', 'shares', 'time', 'explore', 'new', 'opportunities', 'market', 'exxonmobil', 'stocks', 'investing']",sold exxon mobil shares time explore new opportunities market exxonmobil stocks investing,sold exxon mobil shares time explore new opportunities market exxonmobil stocks investing,sold exxon mobil shares time explore new opportunities market exxonmobil stocks investing,True,0.0,0.676,0.324,0.5859,positive
2018,Pharmaceutical,investing in pharmaceutical stocks can be rewarding but also risky. it requires careful analysis. #pharmaceuticals #stocks #investing,133,"['investing', 'pharmaceutical', 'stocks', 'rewarding', 'also', 'risky', 'requires', 'careful', 'analysis', 'pharmaceuticals', 'stocks', 'investing']",investing pharmaceutical stocks rewarding also risky requires careful analysis pharmaceuticals stocks investing,investing pharmaceutical stocks rewarding also risky requires careful analysis pharmaceuticals stocks investing,investing pharmaceutical stocks rewarding also risky requires careful analysis pharmaceuticals stocks investing,True,0.114,0.57,0.316,0.4939,positive
2019,Netflix,just made a significant gain on my netflix stock. their original content is a hit! #netflix #stocks #investing,110,"['made', 'significant', 'gain', 'netflix', 'stock', 'original', 'content', 'hit', 'netflix', 'stocks', 'investing']",made significant gain netflix stock original content hit netflix stocks investing,made significant gain netflix stock original content hit netflix stocks investing,made significant gain netflix stock original content hit netflix stocks investing,True,0.0,0.516,0.484,0.7579,positive
2019,PayPal,bought some shares of paypal today. they're a leader in the online payment industry. #paypal #stocks #investing,111,"['bought', 'shares', 'paypal', 'today', 'leader', 'online', 'payment', 'industry', 'paypal', 'stocks', 'investing']",bought shares paypal today leader online payment industry paypal stocks investing,bought shares paypal today leader online payment industry paypal stocks investing,bought shares paypal today leader online payment industry paypal stocks investing,True,0.0,0.82,0.18,0.296,positive
2019,Electric Vehicle,considering investing in the electric vehicle industry. the future is electric! #ev #stocks #investing,102,"['considering', 'investing', 'electric', 'vehicle', 'industry', 'future', 'electric', 'ev', 'stocks', 'investing']",considering investing electric vehicle industry future electric stocks investing,considering investing electric vehicle industry future electric stocks investing,considering investing electric vehicle industry future electric stocks investing,True,0.0,1.0,0.0,0.0,neutral
2019,Brexit,feeling unsure about the impact of brexit on uk stocks. it's a challenging time for investors. #brexit #stocks #investing,121,"['feeling', 'unsure', 'impact', 'brexit', 'uk', 'stocks', 'challenging', 'time', 'investors', 'brexit', 'stocks', 'investing']",feeling unsure impact brexit stocks challenging time investors brexit stocks investing,feeling unsure impact brexit stocks challenging time investors brexit stocks investing,feeling unsure impact brexit stocks challenging time investors brexit stocks investing,True,0.153,0.611,0.237,0.0258,positive
2020,Zoom,investing in zoom was a smart move. their video conferencing platform has skyrocket,83,"['investing', 'zoom', 'smart', 'move', 'video', 'conferencing', 'platform', 'skyrocket']",investing zoom smart move video conferencing platform skyrocket,investing zoom smart move video conferencing platform skyrocket,investing zoom smart move video conferencing platform skyrocket,True,0.0,0.722,0.278,0.4019,positive
